'strain','stress'
0.00999,12.25368
0.00992,11.53669
0.00984,12.22759
0.01018,11.19345
0.0091,11.56381
0.01003,12.65821
0.00988,12.39556
0.01001,10.40473
0.00949,11.10633
0.00999,11.13685
0.00947,10.89977
0.00997,11.57685
0.00916,11.7263
0.00959,10.94176
0.0099,12.78523
0.0097,11.8974
0.00966,12.17387
0.00932,11.94956
0.00906,12.03381
0.00949,10.7125
0.00971,11.59068
0.00994,12.44121
0.01025,11.72761
0.00981,11.17206
0.0097,11.68196
0.00929,11.1392
0.00969,11.43418
0.00941,12.41538
0.00951,12.18847
0.00996,10.2412
0.00953,10.99157
0.00918,12.37626
0.00968,12.36948
0.00981,11.87366
0.00898,11.8035
0.00962,10.46446
0.00982,12.08258
0.00904,11.49652
0.0101,12.19656
0.00959,12.18013
0.00954,11.46939
0.00923,11.16006
0.0088,10.56279
0.00981,13.57394
0.00975,10.91333
0.00997,12.15248
0.00969,10.98662
0.01011,10.6053
0.0099,11.80715
0.00975,11.46157
0.00993,10.31032
0.01005,10.84473
0.00972,10.91907
0.01072,10.81474
0.00985,13.79251
0.01024,11.34994
0.00972,9.92144
0.01033,11.53747
0.00983,11.54973
0.00989,11.8275
0.00995,11.41619
0.00976,11.82072
0.0102,10.01481
0.01045,11.03174
0.00971,12.82722
0.00967,10.89012
0.01044,11.24144
0.01026,9.95586
0.01061,11.08104
0.01078,12.01477
0.01056,11.91331
0.01003,9.84449
0.01089,11.58415
0.01046,11.47096
0.01094,10.81265
0.01031,11.0307
0.01044,11.53173
0.01028,10.44646
0.01053,10.80509
0.00995,11.26022
0.01049,11.75577
0.01026,10.22242
0.01083,12.62613
0.01058,13.23644
0.0111,9.4577
0.0107,11.35907
0.01031,11.01531
0.0106,11.37785
0.01013,12.70933
0.01075,11.85854
0.01036,11.06173
0.01052,10.67729
0.01029,12.75601
0.01025,11.42688
0.01073,12.32279
0.01136,11.97721
0.01062,10.79935
0.01061,10.50541
0.01071,12.17987
0.01056,12.22655
0.01123,10.51558
0.01042,12.31549
0.0111,12.86269
0.01067,12.13918
0.01045,10.50097
0.01129,10.55001
0.01091,11.31499
0.01052,10.03985
0.01036,12.15743
0.01063,10.80248
0.01049,11.76829
0.01104,11.37628
0.01085,12.00303
0.01045,12.64177
0.01044,9.44596
0.01058,11.13789
0.01049,11.3176
0.01066,12.8979
0.00997,11.7949
0.01069,10.2678
0.00997,11.59798
0.0104,10.86899
0.00994,12.41225
0.01031,12.10684
0.01069,11.71743
0.01095,10.49811
0.01056,11.88097
0.00992,10.35805
0.01032,11.50095
0.01027,11.15824
0.01001,11.48948
0.01025,11.52782
0.01061,11.61467
0.00978,12.0578
0.01,10.52575
0.00972,11.55886
0.01005,10.8463
0.01017,11.95374
0.01046,11.81185
0.01028,11.91879
0.01073,11.30847
0.01057,11.98399
0.00978,10.82048
0.01079,9.712
0.01043,13.47822
0.01055,11.30612
0.01059,11.21379
0.01037,12.05572
0.01048,10.80405
0.01049,11.00462
0.01062,12.63943
0.01118,12.17517
0.0104,10.97071
0.01055,11.30377
0.01028,11.81967
0.01001,12.11727
0.01075,11.43627
0.01062,10.3184
0.01019,11.25083
0.01023,10.87551
0.01062,12.26724
0.01036,10.89507
0.01025,11.6165
0.01028,12.10345
0.01004,11.20023
0.01057,11.27482
0.01054,11.03852
0.01078,12.26333
0.01017,13.08465
0.01052,11.65066
0.01039,12.91798
0.01059,12.01085
0.01037,11.81028
0.01073,11.35098
0.01068,12.63343
0.01098,10.73076
0.01122,10.80222
0.01101,11.56929
0.01135,12.63212
0.01098,11.04635
0.01089,10.88699
0.01136,11.42532
0.01093,11.21588
0.0111,12.39765
0.01092,10.4063
0.01097,11.34446
0.01098,12.76175
0.01113,10.71354
0.0111,11.50956
0.01081,12.32332
0.01127,11.04452
0.01154,11.09251
0.01085,12.4193
0.01081,11.69813
0.01112,12.52988
0.01097,10.42847
0.01084,15.13546
0.01134,14.41482
0.01126,14.83813
0.01087,14.69025
0.01108,14.5987
0.01097,15.9307
0.01068,14.57392
0.01104,14.25598
0.01139,15.37281
0.01135,14.60313
0.01125,13.63158
0.01125,15.84593
0.01079,13.34181
0.01148,16.6323
0.01106,14.60678
0.01141,15.34307
0.01154,16.1284
0.01135,14.41612
0.01071,13.6428
0.01131,14.22625
0.01186,15.48574
0.01116,15.23197
0.01166,13.98421
0.01223,15.82742
0.01169,15.48939
0.01138,15.3642
0.01163,16.04076
0.01182,15.57181
0.01186,13.53273
0.01146,15.12686
0.01127,14.41978
0.01118,14.23225
0.01162,14.93541
0.01125,13.9357
0.01138,15.00427
0.01099,15.36863
0.01202,14.06324
0.01165,15.08095
0.01191,15.68918
0.01227,15.29378
0.01178,15.25179
0.01182,15.25257
0.01202,15.03557
0.01195,13.53717
0.01163,15.70353
0.01138,15.10286
0.01152,15.82037
0.01175,15.29639
0.01117,14.11045
0.01147,15.37072
0.01127,15.14694
0.01119,13.43858
0.01151,15.5799
0.01205,15.29508
0.01184,14.91507
0.01168,17.02979
0.0115,14.68425
0.01148,15.30891
0.0111,16.38035
0.01076,13.64384
0.01107,15.05487
0.01183,13.06404
0.01113,15.18502
0.01137,13.74087
0.01095,16.03868
0.01152,15.48366
0.01155,14.08567
0.01184,14.2985
0.0114,15.43958
0.01129,15.37646
0.01128,15.17302
0.01133,15.41454
0.01184,15.13625
0.01174,14.8277
0.012,14.56297
0.01156,16.08536
0.01095,15.41715
0.01118,15.19493
0.01142,15.46331
0.01178,15.79247
0.01148,15.27474
0.01226,15.29587
0.01145,16.28906
0.01119,16.86391
0.01159,14.99306
0.01107,15.41976
0.01133,14.40465
0.01084,15.65788
0.01112,15.47088
0.01146,14.36709
0.0117,15.3376
0.01164,14.70668
0.01137,14.371
0.01143,15.59294
0.01074,13.83789
0.012,15.09738
0.01132,14.73719
0.01136,17.02979
0.01154,15.32977
0.01187,17.59707
0.01171,14.1034
0.01095,14.02672
0.01141,16.15161
0.01091,14.98993
0.01121,15.61693
0.01157,15.4461
0.01136,15.37542
0.01212,15.17615
0.01198,15.49435
0.01206,13.77842
0.01187,16.4213
0.01182,14.1853
0.01207,14.99123
0.01205,14.80344
0.01191,15.10834
0.01177,15.42445
0.0121,14.42578
0.0119,14.68216
0.01161,13.55777
0.01175,14.82561
0.01229,15.52069
0.01182,15.29274
0.01201,14.98445
0.01195,14.86291
0.01225,15.63415
0.01207,15.44897
0.01133,14.51315
0.01171,14.21112
0.01169,15.5426
0.01138,14.41169
0.01206,15.7004
0.01135,15.82037
0.01135,15.16102
0.01197,15.55329
0.01247,14.73745
0.01172,15.40698
0.01173,14.9941
0.01219,14.82535
0.01182,15.36994
0.01192,15.49565
0.01194,15.29013
0.01194,14.69364
0.01199,14.27841
0.01189,14.42551
0.01145,15.43593
0.01216,15.24057
0.01203,14.74084
0.01169,14.40621
0.01214,13.78964
0.01206,17.17533
0.01179,15.04861
0.01172,14.16678
0.01149,14.26094
0.01126,14.48081
0.01137,14.24764
0.01148,15.33838
0.01209,15.82142
0.01205,14.50976
0.01201,14.50872
0.01168,15.02774
0.0119,15.17093
0.01185,14.64382
0.01126,15.6691
0.01161,15.18111
0.01193,13.9297
0.01152,16.01494
0.01233,13.97065
0.01198,16.17822
0.01197,15.21267
0.01219,16.33262
0.01153,15.54938
0.01167,14.32432
0.01194,14.46855
0.01203,16.09189
0.01239,15.35194
0.01226,15.42445
0.01171,15.45888
0.01199,14.35196
0.01169,14.40804
0.01226,16.02459
0.01253,15.92183
0.01205,14.08358
0.01202,15.2677
0.01166,15.75178
0.01182,13.64619
0.01253,15.57312
0.01222,13.0909
0.0129,13.70722
0.01208,15.85689
0.01211,13.23957
0.01202,13.94509
0.01181,16.09032
0.01201,15.08904
0.01273,15.11538
0.01198,15.25387
0.01168,14.16965
0.01146,15.35585
0.01256,14.72989
0.01227,14.97402
0.01136,13.39502
0.01203,14.74528
0.01182,14.04915
0.01224,16.5744
0.01152,15.09269
0.01157,13.75756
0.0123,14.80787
0.01203,14.11279
0.01195,15.6065
0.01236,16.25855
0.01242,14.91768
0.01201,13.93804
0.01281,16.44425
0.01246,14.71972
0.0126,15.0374
0.01273,15.22153
0.01275,14.25911
0.01328,15.71239
0.01277,15.11199
0.0126,15.36264
0.01315,13.30139
0.01309,13.89892
0.01297,14.28572
0.01315,14.44012
0.01277,15.55982
0.01293,12.93415
0.01279,13.80007
0.01285,15.37307
0.01284,15.55329
0.01252,15.52721
0.01227,14.7964
0.01214,14.2878
0.01256,15.39889
0.01236,16.20143
0.01259,14.74476
0.01238,15.36577
0.01231,14.63573
0.01264,14.64173
0.01259,15.42888
0.01207,14.94898
0.01248,16.05694
0.01225,16.72072
0.01242,15.35977
0.01267,15.18267
0.01277,15.39733
0.0124,15.17328
0.01228,14.4396
0.01337,14.98523
0.01286,13.87753
0.01281,15.30395
0.01281,14.73693
0.01246,15.41167
0.01289,15.287
0.01251,13.90075
0.01237,14.88951
0.01215,14.32249
0.01316,14.42212
0.0131,14.66416
0.01269,16.24133
0.01266,15.39237
0.01263,15.03896
0.01249,14.91168
0.01275,17.42363
0.01261,17.57047
0.01279,18.90247
0.013,16.97971
0.01287,17.14951
0.01305,16.96876
0.01296,16.24394
0.01281,17.78303
0.01235,18.21991
0.01247,18.10071
0.01287,16.94789
0.01216,17.31904
0.01211,19.49766
0.01239,18.20608
0.01263,17.31017
0.01268,16.54988
0.01234,17.51335
0.01254,17.19854
0.01258,17.71105
0.01286,18.18443
0.01325,17.27183
0.01259,17.49013
0.01324,18.14948
0.01267,18.186
0.01244,16.0392
0.01206,17.59238
0.01234,18.07463
0.01235,17.18941
0.01288,18.0222
0.01274,17.35764
0.01298,17.42676
0.0136,18.64269
0.01333,17.68027
0.01302,17.90979
0.01343,16.53267
0.01323,16.58666
0.01274,16.58744
0.01311,17.69618
0.01312,17.27392
0.01314,17.71705
0.01317,17.63046
0.01265,17.98152
0.01307,18.24181
0.01341,18.2872
0.01347,17.87302
0.01329,18.49742
0.01384,18.1594
0.01386,16.60126
0.01375,17.8665
0.01343,18.38761
0.01327,17.48909
0.01337,16.93485
0.01343,18.6586
0.01295,17.95517
0.01368,18.36179
0.01257,17.49118
0.01275,17.14012
0.01298,17.39467
0.01281,18.14453
0.01323,16.73324
0.01345,17.55091
0.01377,17.9763
0.01324,16.39991
0.01304,15.98156
0.01262,16.83913
0.01289,18.09184
0.01253,17.83337
0.01274,17.93222
0.01264,16.9046
0.01334,17.66123
0.01373,17.28826
0.01346,17.09526
0.0136,17.23036
0.01284,17.85163
0.01328,17.65888
0.01342,17.80599
0.01328,15.94896
0.01294,17.87797
0.01254,16.0139
0.01324,18.13357
0.01351,17.74574
0.01383,17.6182
0.01337,16.97971
0.01348,18.41082
0.01321,17.64558
0.0136,17.9437
0.01329,17.62785
0.01342,17.62498
0.01352,17.37277
0.01329,17.14377
0.01325,16.58953
0.01294,16.62682
0.01356,16.40278
